key,type,model,fscore,chamfer
bed,bed,triposr_sam2,0.2088,0.15503
bed,bed,triposr_rembg,0.4313,0.129241
bed,bed,instantmesh,0.1717,0.183799
bed,bed,sam3d,0.3696,0.096287
bed,bed,trellis,0.6722,0.036678
bed,bed,triposg,0.2846,0.171704
bookshelf,bookshelf,triposr_sam2,0.1805,0.185781
bookshelf,bookshelf,triposr_rembg,0.5498,0.047117
bookshelf,bookshelf,instantmesh,0.1559,0.200133
bookshelf,bookshelf,sam3d,0.1511,0.202421
bookshelf,bookshelf,trellis,0.1552,0.203093
bookshelf,bookshelf,triposg,0.7518,0.033167
cabinet,cabinet,triposr_sam2,0.1969,0.221383
cabinet,cabinet,triposr_rembg,0.0263,0.255595
cabinet,cabinet,instantmesh,0.4155,0.075831
cabinet,cabinet,sam3d,0.7254,0.029956
cabinet,cabinet,trellis,0.4833,0.047758
cabinet,cabinet,triposg,0.5379,0.034264
chair,chair,triposr_sam2,0.2718,0.15002
chair,chair,triposr_rembg,0.2215,0.177928
chair,chair,instantmesh,0.2209,0.147979
chair,chair,sam3d,0.2316,0.148753
chair,chair,trellis,0.2305,0.159655
chair,chair,triposg,0.1971,0.164853
desk,desk,triposr_sam2,0.13,0.347179
desk,desk,triposr_rembg,0.0935,0.237266
desk,desk,instantmesh,0.089,0.273894
desk,desk,sam3d,0.0464,0.292587
desk,desk,trellis,0.1255,0.267419
desk,desk,triposg,0.0864,0.27601
lamp,lamp,triposr_sam2,0.3359,0.181237
lamp,lamp,triposr_rembg,0.2302,0.194349
lamp,lamp,instantmesh,0.326,0.138154
lamp,lamp,sam3d,0.1763,0.198161
lamp,lamp,trellis,0.1708,0.197524
lamp,lamp,triposg,0.2057,0.199619
office_chair,office_chair,triposr_sam2,0.4959,0.056112
office_chair,office_chair,triposr_rembg,0.3941,0.100687
office_chair,office_chair,instantmesh,0.3919,0.108788
office_chair,office_chair,sam3d,0.6275,0.037374
office_chair,office_chair,trellis,0.2918,0.121193
office_chair,office_chair,triposg,0.6041,0.037547
sofa,sofa,triposr_sam2,0.334,0.116538
sofa,sofa,triposr_rembg,0.0,0.342345
sofa,sofa,instantmesh,0.102,0.203794
sofa,sofa,sam3d,0.2504,0.132598
sofa,sofa,trellis,0.1718,0.1698
sofa,sofa,triposg,0.1728,0.17188
stool,stool,triposr_sam2,0.3284,0.07597
stool,stool,triposr_rembg,0.4772,0.059291
stool,stool,instantmesh,0.5873,0.038605
stool,stool,sam3d,0.8945,0.018066
stool,stool,trellis,0.9914,0.009676
stool,stool,triposg,0.9925,0.01505
table,table,triposr_sam2,0.2981,0.197285
table,table,triposr_rembg,0.5306,0.042059
table,table,instantmesh,0.814,0.028178
table,table,sam3d,0.2057,0.1105
table,table,trellis,0.1786,0.098128
table,table,triposg,0.0949,0.18047
